Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
initialize,2025-07-04 10:51:47.494782,0,1,0,0,0,0
initialize,2025-07-04 10:51:47.494788,0,2,0,0,0,0
initialize,2025-07-04 10:52:48.547366,0,1,0,0,0,0
initialize,2025-07-04 10:52:48.547372,0,2,0,0,0,0
1,2025-07-04 10:52:48.547372,0,2,0,0,0,0
1,2025-07-04 10:53:05.241817,1111111199198,2,43,0,5,0
1,2025-07-04 10:52:48.547366,0,1,0,0,0,0
1,2025-07-04 10:53:55.398365,1111111199198,1,31,0,3,0
1,2025-07-04 10:53:20.405692,1111110210210,2,52,0,5,0
1,2025-07-04 10:54:42.887999,1111111199198,2,0,0,0,0
1,2025-07-04 10:55:36.959467,1102000232,2,0,0,0,0
1,2025-07-04 10:54:25.184574,1111110210210,1,32,0,3,0
1,2025-07-04 10:56:41.434464,1111110210210,1,114,0,12,0
1,2025-07-04 10:57:00.034741,1111111199198,1,0,0,0,0
1,2025-07-04 10:57:17.801858,1111111199198,1,59,0,6,0
1,2025-07-04 10:57:28.315825,1111110210210,1,0,0,0,0
1,2025-07-04 11:06:12.927708,1111110210210,1,0,93,0,11
1,2025-07-04 10:55:36.976409,1111111199198,2,43,0,4,0
1,2025-07-04 11:07:01.616508,1111111199198,2,0,45,0,9
1,2025-07-04 11:07:28.428677,1111111199198,2,0,0,0,0
1,2025-07-04 11:07:37.838181,1111110210210,2,7,0,3,0
initialize,2025-07-04 11:08:23.991333,0,1,0,0,0,0
initialize,2025-07-04 11:08:23.991339,0,2,0,0,0,0
1,2025-07-04 11:08:23.991333,0,1,0,0,0,0
1,2025-07-04 11:08:23.991339,0,2,0,0,0,0
1,2025-07-04 11:08:47.661274,1111111199198,2,19,0,3,0
1,2025-07-04 11:08:58.319416,1111110210210,2,0,0,0,0
1,2025-07-04 11:08:30.979536,1111111199198,1,49,0,7,0
1,2025-07-04 11:23:57.219472,1111110210210,1,79,0,5,0
1,2025-07-04 11:24:06.949247,1102000232,1,0,0,0,0
1,2025-07-04 11:24:06.966844,1111111199198,1,0,0,0,0
1,2025-07-04 11:24:18.629287,1111110210210,1,49,0,4,0
initialize,2025-07-04 11:29:28.504303,0,1,0,0,0,0
initialize,2025-07-04 11:29:28.504309,0,2,0,0,0,0
initialize,2025-07-04 11:30:13.669166,0,1,0,0,0,0
initialize,2025-07-04 11:30:13.669172,0,2,0,0,0,0
