Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
initialize,2025-07-04 10:51:47.695847,0,1,0,0,0,0,initialize
initialize,2025-07-04 10:51:47.695851,0,2,0,0,0,0,initialize
initialize,2025-07-04 10:52:48.748521,0,1,0,0,0,0,initialize
initialize,2025-07-04 10:52:48.748526,0,2,0,0,0,0,initialize
1,2025-07-04 10:56:41.434472,1111110210210,1,15,0,0,0,1->2
1,2025-07-04 10:57:17.801866,1111111199198,1,9,0,0,0,1->2
1,2025-07-04 11:06:12.927713,1111110210210,1,0,11,0,0,2->1
1,2025-07-04 10:52:48.748526,0,2,0,0,9,0,3->4
1,2025-07-04 10:52:48.748526,0,2,0,0,0,9,4->3
1,2025-07-04 10:52:48.748526,0,2,0,0,8,0,3->4
initialize,2025-07-04 11:08:24.192535,0,1,0,0,0,0,initialize
initialize,2025-07-04 11:08:24.192541,0,2,0,0,0,0,initialize
1,2025-07-04 11:08:30.979540,1111111199198,1,7,0,0,0,1->2
1,2025-07-04 11:24:18.629291,1111110210210,1,9,0,0,0,1->2
initialize,2025-07-04 11:29:28.705391,0,1,0,0,0,0,initialize
initialize,2025-07-04 11:29:28.705396,0,2,0,0,0,0,initialize
initialize,2025-07-04 11:30:13.871146,0,1,0,0,0,0,initialize
initialize,2025-07-04 11:30:13.871152,0,2,0,0,0,0,initialize
