Mode,Start_Time,Animal,Unit,Drinks1,Drinks2,Drinks3,Drinks4,Swap_direction
1,2025-07-22 00:25:58.763394,19645674,1,0,574,0,0,2->1
1,2025-07-22 00:40:29.209114,1111110192192,1,597,0,0,0,1->2
1,2025-07-22 01:11:11.858389,1111110190190,1,606,0,0,0,1->2
1,2025-07-22 01:46:26.417617,1964711262,1,556,0,0,0,1->2
1,2025-07-22 02:19:12.917860,19647181251,1,0,632,0,0,2->1
1,2025-07-22 03:55:58.663112,11111116362,1,0,599,0,0,2->1
1,2025-07-22 09:49:17.873365,11111114041,1,574,0,0,0,1->2
initialize,2025-07-22 10:36:54.222757,0,1,0,0,0,0,initialize
initialize,2025-07-22 10:36:54.222760,0,2,0,0,0,0,initialize
initialize,2025-07-22 11:44:39.437870,0,1,0,0,0,0,initialize
initialize,2025-07-22 11:44:39.437874,0,2,0,0,0,0,initialize
initialize,2025-07-22 11:46:48.703230,0,1,0,0,0,0,initialize
initialize,2025-07-22 11:46:48.703233,0,2,0,0,0,0,initialize
initialize,2025-07-22 11:51:15.660229,0,1,0,0,0,0,initialize
initialize,2025-07-22 11:51:15.660233,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:03:40.175789,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:03:40.175792,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:07:36.435103,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:07:36.435107,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:09:14.164198,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:09:14.164201,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:13:19.624846,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:13:19.624850,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:15:04.720931,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:15:04.720935,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:15:56.569061,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:15:56.569064,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:22:05.467488,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:22:05.467491,0,2,0,0,0,0,initialize
initialize,2025-07-22 12:28:05.636688,0,1,0,0,0,0,initialize
initialize,2025-07-22 12:28:05.636691,0,2,0,0,0,0,initialize
1,2025-07-22 14:00:24.065291,11111114041,1,0,558,0,0,2->1
1,2025-07-22 14:17:13.596662,1111110192192,1,0,752,0,0,2->1
1,2025-07-22 14:59:08.257243,1111110190190,2,0,0,0,942,4->3
1,2025-07-22 15:34:24.921598,11111116362,1,0,563,0,0,2->1
1,2025-07-22 16:42:16.433048,1111110190190,1,557,0,0,0,1->2
1,2025-07-22 17:04:21.249694,1111111248249,1,582,0,0,0,1->2
1,2025-07-22 17:20:05.691672,1964711262,2,0,0,0,622,4->3
1,2025-07-22 17:30:13.663672,1111111248249,2,0,0,0,818,4->3
1,2025-07-22 17:35:18.264535,19647181251,2,0,0,569,0,3->4
1,2025-07-22 17:47:34.704121,1964711262,1,574,0,0,0,1->2
1,2025-07-22 17:50:23.571277,19647181251,2,0,0,0,1475,4->3
1,2025-07-22 18:18:18.223129,19647181251,1,0,564,0,0,2->1
1,2025-07-22 18:19:21.242669,19645674,1,581,0,0,0,1->2
1,2025-07-22 18:25:41.468466,1111110192192,1,655,0,0,0,1->2
1,2025-07-22 18:12:37.314066,1111110192192,2,0,0,1943,0,3->4
1,2025-07-22 18:55:32.720063,11111116362,1,579,0,0,0,1->2
1,2025-07-22 20:21:06.867870,11111114041,1,572,0,0,0,1->2
1,2025-07-22 20:13:26.610763,1111110190190,2,0,0,1662,0,3->4
1,2025-07-22 20:39:34.376959,1111110190190,1,0,577,0,0,2->1
1,2025-07-22 21:47:27.820820,1111111248249,1,0,608,0,0,2->1
1,2025-07-22 21:41:29.113441,1964711262,2,0,0,1073,0,3->4
1,2025-07-22 22:07:12.565490,19647181251,1,588,0,0,0,1->2
1,2025-07-22 21:59:47.536639,1111111248249,2,0,0,1716,0,3->4
1,2025-07-22 22:45:54.214522,1964711262,1,0,555,0,0,2->1
1,2025-07-22 22:34:56.241748,11111116362,2,0,0,1431,0,3->4
1,2025-07-22 23:56:31.871708,11111116362,1,0,555,0,0,2->1
1,2025-07-22 23:57:05.514570,1111110192192,1,0,570,0,0,2->1
