Mode,Start_Time,Animal,Unit,Weight
1,2025-07-31 00:02:44.056508,1111111248249,3,22.77
1,2025-07-31 00:02:44.259726,1111111248249,3,17.59
1,2025-07-31 00:02:44.462631,1111111248249,3,9.84
1,2025-07-31 00:02:44.665077,1111111248249,3,3.79
1,2025-07-31 00:02:44.867577,1111111248249,3,-0.76
1,2025-07-31 00:02:45.069784,1111111248249,3,-0.03
1,2025-07-31 00:02:45.271934,1111111248249,3,-0.03
1,2025-07-31 00:02:45.473896,1111111248249,3,-0.02
1,2025-07-31 00:02:45.675895,1111111248249,3,0.0
1,2025-07-31 00:02:45.877717,1111111248249,3,-0.01
1,2025-07-31 00:02:53.177643,11111116362,3,19.21
1,2025-07-31 00:02:53.379799,11111116362,3,24.47
1,2025-07-31 00:02:53.581988,11111116362,3,25.84
1,2025-07-31 00:02:53.784386,11111116362,3,25.93
1,2025-07-31 00:02:53.987025,11111116362,3,11.95
1,2025-07-31 00:02:54.189382,11111116362,3,5.45
1,2025-07-31 00:02:54.392467,11111116362,3,0.01
1,2025-07-31 00:02:54.595243,11111116362,3,-0.01
1,2025-07-31 00:02:54.797789,11111116362,3,-0.03
1,2025-07-31 00:02:54.999404,11111116362,3,-0.03
1,2025-07-31 00:03:26.028655,11111114041,3,25.89
1,2025-07-31 00:03:26.231636,11111114041,3,25.59
1,2025-07-31 00:03:26.434648,11111114041,3,33.17
1,2025-07-31 00:03:26.636920,11111114041,3,29.91
1,2025-07-31 00:03:26.839356,11111114041,3,29.82
1,2025-07-31 00:03:27.042079,11111114041,3,24.21
1,2025-07-31 00:03:27.250366,11111114041,3,23.72
1,2025-07-31 00:03:27.452992,11111114041,3,11.06
1,2025-07-31 00:03:27.655671,11111114041,3,10.77
1,2025-07-31 00:03:27.858947,11111114041,3,3.78
1,2025-07-31 00:04:06.555350,11111114041,3,20.56
1,2025-07-31 00:04:06.757867,11111114041,3,24.3
1,2025-07-31 00:04:06.960689,11111114041,3,27.12
1,2025-07-31 00:04:07.163904,11111114041,3,15.14
1,2025-07-31 00:04:07.366639,11111114041,3,13.2
1,2025-07-31 00:04:07.570227,11111114041,3,4.01
1,2025-07-31 00:04:07.773625,11111114041,3,-1.24
1,2025-07-31 00:04:07.976415,11111114041,3,-0.02
1,2025-07-31 00:04:08.178786,11111114041,3,-0.01
1,2025-07-31 00:04:08.381209,11111114041,3,-0.02
1,2025-07-31 00:05:05.257840,1964711262,3,25.86
1,2025-07-31 00:05:05.459590,1964711262,3,27.79
1,2025-07-31 00:05:05.662385,1964711262,3,9.27
1,2025-07-31 00:05:05.866432,1964711262,3,8.84
1,2025-07-31 00:05:06.069745,1964711262,3,2.29
1,2025-07-31 00:05:06.271974,1964711262,3,-1.22
1,2025-07-31 00:05:06.474408,1964711262,3,-0.03
1,2025-07-31 00:05:06.676818,1964711262,3,-0.03
1,2025-07-31 00:05:06.879858,1964711262,3,-0.02
1,2025-07-31 00:05:07.082289,1964711262,3,-0.03
1,2025-07-31 00:06:30.020998,11111114041,3,19.6
1,2025-07-31 00:06:30.224284,11111114041,3,26.78
1,2025-07-31 00:06:30.427469,11111114041,3,27.27
1,2025-07-31 00:06:30.629984,11111114041,3,15.32
1,2025-07-31 00:06:30.833141,11111114041,3,13.73
1,2025-07-31 00:06:31.035971,11111114041,3,2.26
1,2025-07-31 00:06:31.238334,11111114041,3,0.12
1,2025-07-31 00:06:31.441334,11111114041,3,0.03
1,2025-07-31 00:06:31.643628,11111114041,3,-0.05
1,2025-07-31 00:06:31.845268,11111114041,3,-0.02
1,2025-07-31 00:07:00.969054,1964711262,3,26.51
1,2025-07-31 00:07:01.171097,1964711262,3,26.37
1,2025-07-31 00:07:01.373025,1964711262,3,8.51
1,2025-07-31 00:07:01.575183,1964711262,3,5.64
1,2025-07-31 00:07:01.777395,1964711262,3,0.28
1,2025-07-31 00:07:01.980007,1964711262,3,-1.0
1,2025-07-31 00:07:02.182700,1964711262,3,-0.04
1,2025-07-31 00:07:02.385605,1964711262,3,-0.03
1,2025-07-31 00:07:02.588001,1964711262,3,-0.04
1,2025-07-31 00:07:02.790599,1964711262,3,-0.04
1,2025-07-31 00:07:57.276469,11111114041,3,23.78
1,2025-07-31 00:07:57.478407,11111114041,3,26.59
1,2025-07-31 00:07:57.680382,11111114041,3,26.05
1,2025-07-31 00:07:57.882398,11111114041,3,25.51
1,2025-07-31 00:07:58.084392,11111114041,3,14.88
1,2025-07-31 00:07:58.286383,11111114041,3,14.05
1,2025-07-31 00:07:58.488956,11111114041,3,10.92
1,2025-07-31 00:07:58.692020,11111114041,3,-1.32
1,2025-07-31 00:07:58.895,11111114041,3,0.4
1,2025-07-31 00:07:59.096994,11111114041,3,-0.04
1,2025-07-31 00:08:48.718630,11111116362,3,18.03
1,2025-07-31 00:08:48.921218,11111116362,3,26.14
1,2025-07-31 00:08:49.125568,11111116362,3,26.96
1,2025-07-31 00:08:49.329331,11111116362,3,25.73
1,2025-07-31 00:08:49.532515,11111116362,3,15.58
1,2025-07-31 00:08:49.735198,11111116362,3,11.25
1,2025-07-31 00:08:49.937864,11111116362,3,4.15
1,2025-07-31 00:08:50.142048,11111116362,3,-1.12
1,2025-07-31 00:08:50.344900,11111116362,3,-0.6
1,2025-07-31 00:08:50.547934,11111116362,3,0.03
1,2025-07-31 00:12:16.836398,11111116362,3,18.54
1,2025-07-31 00:12:17.039034,11111116362,3,24.87
1,2025-07-31 00:12:17.241901,11111116362,3,25.24
1,2025-07-31 00:12:17.444656,11111116362,3,28.68
